[2025-10-12 | 12:29:30] {jeet} ('192.168.56.1', 52445) :- joined the room
[2025-10-12 | 12:29:31] {jeet} ('192.168.56.1', 52445) :- sent: sd
[2025-10-12 | 12:29:31] {jeet} ('192.168.56.1', 52445) :- sent: s
[2025-10-12 | 12:29:31] {jeet} ('192.168.56.1', 52445) :- sent: ds
[2025-10-12 | 12:29:32] {jeet} ('192.168.56.1', 52445) :- sent: d
[2025-10-12 | 12:29:32] {jeet} ('192.168.56.1', 52445) :- sent: sd
[2025-10-12 | 12:29:32] {jeet} ('192.168.56.1', 52445) :- Session key rotated.
[2025-10-12 | 12:29:32] {jeet} ('192.168.56.1', 52445) :- sent: s
[2025-10-12 | 12:30:16] {jeet} ('192.168.56.1', 52445) :- sent: s
[2025-10-12 | 12:30:16] {jeet} ('192.168.56.1', 52445) :- sent: sd
[2025-10-12 | 12:30:16] {jeet} ('192.168.56.1', 52445) :- sent: sd
