[2025-10-12 | 10:00:26] {Guest} ('127.0.0.1', 50139) :- joined the room
[2025-10-12 | 10:00:45] {Guest} ('127.0.0.1', 50139) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:00:51] {Guest} ('127.0.0.1', 50139) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:00:52] {Guest} ('127.0.0.1', 50139) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:00:52] {Guest} ('127.0.0.1', 50139) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:00:52] {Guest} ('127.0.0.1', 50139) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:00:52] {Guest} ('127.0.0.1', 50139) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:00:52] {Guest} ('127.0.0.1', 50139) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:00:53] {Guest} ('127.0.0.1', 50139) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:00:53] {Guest} ('127.0.0.1', 50139) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:00:53] {Guest} ('127.0.0.1', 50139) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:00:54] {Guest} ('127.0.0.1', 50139) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:00:54] {Guest} ('127.0.0.1', 50139) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:00:55] {Guest} ('127.0.0.1', 50139) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:00:55] {Guest} ('127.0.0.1', 50139) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:00:56] {Guest} ('127.0.0.1', 50139) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:00:56] {Guest} ('127.0.0.1', 50139) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:00:57] {Guest} ('127.0.0.1', 50139) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:00:57] {Guest} ('127.0.0.1', 50139) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:03:05] {Guest} ('127.0.0.1', 50139) :- receive loop exited
