[2025-10-12 | 12:40:40] {Guest} ('192.168.56.1', 64846) :- joined the room
[2025-10-12 | 12:40:43] {Guest} ('192.168.56.1', 64846) :- sent: d
[2025-10-12 | 12:40:43] {Guest} ('192.168.56.1', 64846) :- sent: d
[2025-10-12 | 12:42:22] {Guest} ('192.168.56.1', 64846) :- sent: d
[2025-10-12 | 12:42:22] {Guest} ('192.168.56.1', 64846) :- Session key rotated.
[2025-10-12 | 12:42:22] {Guest} ('192.168.56.1', 64846) :- sent: l
[2025-10-12 | 12:42:23] {Guest} ('192.168.56.1', 64846) :- sent: l
[2025-10-12 | 12:42:23] {Guest} ('192.168.56.1', 64846) :- sent: l
[2025-10-12 | 12:42:24] {Guest} ('192.168.56.1', 64846) :- sent: l
[2025-10-12 | 12:43:18] {Guest} ('192.168.56.1', 64846) :- receive loop exited
[2025-10-12 12:43:27] {Guest} ('192.168.56.1', 64846) :- client exited
