[2025-10-12 | 10:07:29] {jeet} ('127.0.0.1', 50543) :- joined the room
[2025-10-12 | 10:07:46] {jeet} ('127.0.0.1', 50543) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:07:46] {jeet} ('127.0.0.1', 50543) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:07:46] {jeet} ('127.0.0.1', 50543) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:07:46] {jeet} ('127.0.0.1', 50543) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:07:46] {jeet} ('127.0.0.1', 50543) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:07:47] {jeet} ('127.0.0.1', 50543) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:07:47] {jeet} ('127.0.0.1', 50543) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:07:47] {jeet} ('127.0.0.1', 50543) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:07:47] {jeet} ('127.0.0.1', 50543) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:07:48] {jeet} ('127.0.0.1', 50543) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:07:48] {jeet} ('127.0.0.1', 50543) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:07:48] {jeet} ('127.0.0.1', 50543) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:07:48] {jeet} ('127.0.0.1', 50543) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:07:48] {jeet} ('127.0.0.1', 50543) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:07:48] {jeet} ('127.0.0.1', 50543) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:07:49] {jeet} ('127.0.0.1', 50543) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:07:49] {jeet} ('127.0.0.1', 50543) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:07:49] {jeet} ('127.0.0.1', 50543) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:07:54] {jeet} ('127.0.0.1', 50543) :- sent: sd
[2025-10-12 | 10:07:54] {jeet} ('127.0.0.1', 50543) :- sent: s
[2025-10-12 | 10:07:54] {jeet} ('127.0.0.1', 50543) :- sent: s
[2025-10-12 | 10:07:54] {jeet} ('127.0.0.1', 50543) :- sent: d
[2025-10-12 | 10:07:55] {jeet} ('127.0.0.1', 50543) :- sent: s
[2025-10-12 | 10:07:55] {jeet} ('127.0.0.1', 50543) :- Session key rotated.
[2025-10-12 | 10:07:55] {jeet} ('127.0.0.1', 50543) :- sent: d
