[2025-10-12 | 09:59:18] {jeet} ('127.0.0.1', 50082) :- joined the room
[2025-10-12 | 09:59:19] {jeet} ('127.0.0.1', 50082) :- sent: ds
[2025-10-12 | 09:59:19] {jeet} ('127.0.0.1', 50082) :- sent: d
[2025-10-12 | 09:59:19] {jeet} ('127.0.0.1', 50082) :- sent: s
[2025-10-12 | 09:59:20] {jeet} ('127.0.0.1', 50082) :- sent: ds
[2025-10-12 | 09:59:28] {jeet} ('127.0.0.1', 50082) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:59:28] {jeet} ('127.0.0.1', 50082) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:59:28] {jeet} ('127.0.0.1', 50082) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:59:29] {jeet} ('127.0.0.1', 50082) :- HMAC verification failed for incoming message.
[2025-10-12 | 09:59:29] {jeet} ('127.0.0.1', 50082) :- HMAC verification failed for incoming message.
[2025-10-12 | 10:00:45] {jeet} ('127.0.0.1', 50082) :- sent: d
[2025-10-12 | 10:00:45] {jeet} ('127.0.0.1', 50082) :- Session key rotated.
[2025-10-12 | 10:00:51] {jeet} ('127.0.0.1', 50082) :- sent: ds
[2025-10-12 | 10:00:52] {jeet} ('127.0.0.1', 50082) :- sent: s
[2025-10-12 | 10:00:52] {jeet} ('127.0.0.1', 50082) :- sent: ds
[2025-10-12 | 10:00:52] {jeet} ('127.0.0.1', 50082) :- sent: d
[2025-10-12 | 10:00:52] {jeet} ('127.0.0.1', 50082) :- sent: s
[2025-10-12 | 10:00:52] {jeet} ('127.0.0.1', 50082) :- Session key rotated.
[2025-10-12 | 10:00:52] {jeet} ('127.0.0.1', 50082) :- sent: ds
[2025-10-12 | 10:00:53] {jeet} ('127.0.0.1', 50082) :- sent: ds
[2025-10-12 | 10:00:53] {jeet} ('127.0.0.1', 50082) :- sent: sd
[2025-10-12 | 10:00:53] {jeet} ('127.0.0.1', 50082) :- sent: s
[2025-10-12 | 10:00:54] {jeet} ('127.0.0.1', 50082) :- sent: ds
[2025-10-12 | 10:00:54] {jeet} ('127.0.0.1', 50082) :- Session key rotated.
[2025-10-12 | 10:00:54] {jeet} ('127.0.0.1', 50082) :- sent: d
[2025-10-12 | 10:00:55] {jeet} ('127.0.0.1', 50082) :- sent: ss
[2025-10-12 | 10:00:55] {jeet} ('127.0.0.1', 50082) :- sent: ds
[2025-10-12 | 10:00:56] {jeet} ('127.0.0.1', 50082) :- sent: ds
[2025-10-12 | 10:00:56] {jeet} ('127.0.0.1', 50082) :- sent: d
[2025-10-12 | 10:00:56] {jeet} ('127.0.0.1', 50082) :- Session key rotated.
[2025-10-12 | 10:00:57] {jeet} ('127.0.0.1', 50082) :- sent: ss
[2025-10-12 | 10:00:57] {jeet} ('127.0.0.1', 50082) :- sent: d
[2025-10-12 | 10:03:05] {jeet} ('127.0.0.1', 50082) :- receive loop exited
