[2025-10-11 | 13:37:33] {client} ('127.0.0.1', 63686) :- joined the room
[2025-10-11 | 13:37:34] {client} ('127.0.0.1', 63686) :- received: client joined the room.
[2025-10-11 | 13:37:38] {client} ('127.0.0.1', 63686) :- sent: hi
[2025-10-11 | 13:37:38] {client} ('127.0.0.1', 63687) :- received: client: hi
[2025-10-11 | 13:37:40] {client} ('127.0.0.1', 63687) :- sent: hi
[2025-10-11 | 13:37:40] {client} ('127.0.0.1', 63686) :- received: client: hi
[2025-10-11 | 13:37:42] {client} ('127.0.0.1', 63686) :- sent: hi
[2025-10-11 | 13:37:42] {client} ('127.0.0.1', 63687) :- received: client: hi
[2025-10-11 | 13:37:44] {client} ('127.0.0.1', 63686) :- sent: hello
[2025-10-11 | 13:37:44] {client} ('127.0.0.1', 63687) :- received: client: hello
[2025-10-11 | 13:37:47] {client} ('127.0.0.1', 63687) :- sent: hell
[2025-10-11 | 13:37:47] {client} ('127.0.0.1', 63686) :- received: client: hell
[2025-10-11 | 13:37:49] {client} ('127.0.0.1', 63686) :- sent: hello
[2025-10-11 | 13:37:49] {client} ('127.0.0.1', 63687) :- received: client: hello
[2025-10-11 | 13:37:52] {client} ('127.0.0.1', 63687) :- sent: hello
[2025-10-11 | 13:37:52] {client} ('127.0.0.1', 63686) :- received: client: hello
[2025-10-11 | 13:37:54] {client} ('127.0.0.1', 63687) :- sent: i]
[2025-10-11 | 13:37:54] {client} ('127.0.0.1', 63686) :- received: client: i]
[2025-10-11 | 13:37:55] {client} ('127.0.0.1', 63687) :- sent: ji
[2025-10-11 | 13:37:55] {client} ('127.0.0.1', 63686) :- received: client: ji
[2025-10-11 | 13:37:58] {client} ('127.0.0.1', 63686) :- sent: sads
[2025-10-11 | 13:37:58] {client} ('127.0.0.1', 63687) :- received: client: sads
[2025-10-11 | 13:37:59] {client} ('127.0.0.1', 63686) :- sent: d
[2025-10-11 | 13:37:59] {client} ('127.0.0.1', 63687) :- received: client: d
[2025-10-11 | 13:38:02] {client} ('127.0.0.1', 63686) :- received: client disconnected.
[2025-10-11 | 13:38:06] {client} ('127.0.0.1', 63686) :- receive loop exited
[2025-10-11 | 13:38:14] {client} ('127.0.0.1', 63686) :- client exited
[2025-10-11 14:24:31] {jeet} ('127.0.0.1', 49940) :- joined the room
[2025-10-11 14:24:35] {jeet} ('127.0.0.1', 49940) :- sent: ih
[2025-10-11 14:24:37] {jeet} ('127.0.0.1', 49940) :- sent: hi
[2025-10-11 14:24:39] {jeet} ('127.0.0.1', 49940) :- sent: jeet
[2025-10-11 14:24:45] {jeet} ('127.0.0.1', 49940) :- sent: /exit
[2025-10-11 14:24:49] {jeet} ('127.0.0.1', 49940) :- sent: \exit
[2025-10-11 14:24:51] {jeet} ('127.0.0.1', 49940) :- client exited
[2025-10-11 14:25:00] {jeet} ('127.0.0.1', 49970) :- joined the room
[2025-10-11 14:25:02] {jeet} ('127.0.0.1', 49970) :- sent: hi
[2025-10-11 14:25:24] {jeet} ('127.0.0.1', 49970) :- sent: hi
[2025-10-11 14:25:27] {jeet} ('127.0.0.1', 49970) :- sent: hi
[2025-10-11 14:25:37] {jeet} ('127.0.0.1', 49970) :- received: jeet joined the room.
