Room created: ROOM at 20251011-09-14-36
Server: server
[2025-10-11 | 09:15:10] {jex} ('127.0.0.1', 50687) :- joined the room
[2025-10-11 | 09:15:11] {jex} ('127.0.0.1', 50687) :- hi
[2025-10-11 | 09:15:14] {jex} ('127.0.0.1', 50687) :- hi
[2025-10-11 | 09:15:17] {jeet} ('127.0.0.1', 50674) :- joined the room
[2025-10-11 | 09:15:18] {jeet} ('127.0.0.1', 50674) :- hi
[2025-10-11 | 09:15:20] {jeet} ('127.0.0.1', 50674) :- hi
[2025-10-11 | 09:15:23] {jex} ('127.0.0.1', 50687) :- hih
[2025-10-11 | 09:15:24] {jex} ('127.0.0.1', 50687) :- h
[2025-10-11 | 09:15:25] {jex} ('127.0.0.1', 50687) :- hhhihih
[2025-10-11 | 09:15:25] {jex} ('127.0.0.1', 50687) :- ih
[2025-10-11 | 09:15:25] {jex} ('127.0.0.1', 50687) :- i
[2025-10-11 | 09:15:25] {jex} ('127.0.0.1', 50687) :- hih
[2025-10-11 | 09:15:26] {jex} ('127.0.0.1', 50687) :- ih
[2025-10-11 | 09:15:26] {jex} ('127.0.0.1', 50687) :- ih
[2025-10-11 | 09:15:26] {jex} ('127.0.0.1', 50687) :- ihih
[2025-10-11 | 09:15:26] {jex} ('127.0.0.1', 50687) :- ihi
[2025-10-11 | 09:15:27] {jex} ('127.0.0.1', 50687) :- h
[2025-10-11 | 09:15:27] {jex} ('127.0.0.1', 50687) :- ihih
[2025-10-11 | 09:15:27] {jex} ('127.0.0.1', 50687) :- hi
[2025-10-11 | 09:15:27] {jex} ('127.0.0.1', 50687) :- hi
[2025-10-11 | 09:15:28] {jex} ('127.0.0.1', 50687) :- ih
[2025-10-11 | 09:15:31] {jeet} ('127.0.0.1', 50674) :- hhihi
[2025-10-11 | 09:15:31] {jeet} ('127.0.0.1', 50674) :- hihih
[2025-10-11 | 09:15:31] {jeet} ('127.0.0.1', 50674) :- ih
[2025-10-11 | 09:15:32] {jeet} ('127.0.0.1', 50674) :- ih
[2025-10-11 | 09:15:32] {jeet} ('127.0.0.1', 50674) :- hi
[2025-10-11 | 09:15:32] {jeet} ('127.0.0.1', 50674) :- hi
[2025-10-11 | 09:15:32] {jeet} ('127.0.0.1', 50674) :- hi
[2025-10-11 | 09:15:33] {jeet} ('127.0.0.1', 50674) :- hi
[2025-10-11 | 09:15:33] {jeet} ('127.0.0.1', 50674) :- hi
[2025-10-11 | 09:15:33] {jeet} ('127.0.0.1', 50674) :- hi
[2025-10-11 | 09:15:33] {jeet} ('127.0.0.1', 50674) :- ih
[2025-10-11 | 09:15:33] {jeet} ('127.0.0.1', 50674) :- ih
[2025-10-11 | 09:15:34] {jeet} ('127.0.0.1', 50674) :- ihi
[2025-10-11 | 09:15:34] {jeet} ('127.0.0.1', 50674) :- hih
[2025-10-11 | 09:15:34] {jeet} ('127.0.0.1', 50674) :- h
[2025-10-11 | 09:15:34] {jeet} ('127.0.0.1', 50674) :- h
[2025-10-11 | 09:15:35] {jeet} ('127.0.0.1', 50674) :- ihih
[2025-10-11 | 09:15:37] {jeet} ('127.0.0.1', 50674) :- hihi
[2025-10-11 | 09:15:48] {jeex4} ('127.0.0.1', 50706) :- joined the room
[2025-10-11 | 09:15:51] {jeex4} ('127.0.0.1', 50706) :- hi'
[2025-10-11 | 09:15:53] {jeex4} ('127.0.0.1', 50706) :- hi'
[2025-10-11 | 09:15:54] {jeex4} ('127.0.0.1', 50706) :- skka
[2025-10-11 | 09:15:55] {jeex4} ('127.0.0.1', 50706) :- daks
[2025-10-11 | 09:15:55] {jeex4} ('127.0.0.1', 50706) :- kda
[2025-10-11 | 09:15:55] {jeex4} ('127.0.0.1', 50706) :- dak
[2025-10-11 | 09:15:56] {jeex4} ('127.0.0.1', 50706) :- sdka
[2025-10-11 | 09:15:56] {jeex4} ('127.0.0.1', 50706) :- skd
[2025-10-11 | 09:15:56] {jeex4} ('127.0.0.1', 50706) :- ak
[2025-10-11 | 09:15:56] {jeex4} ('127.0.0.1', 50706) :- sd
[2025-10-11 | 09:15:56] {jeex4} ('127.0.0.1', 50706) :- aks
[2025-10-11 | 09:15:57] {jeex4} ('127.0.0.1', 50706) :- dk
[2025-10-11 | 09:15:57] {jeex4} ('127.0.0.1', 50706) :- aks
[2025-10-11 | 09:16:16] {jeex4} ('127.0.0.1', 50706) :- ERROR: [WinError 10054] An existing connection was forcibly closed by the remote host
