Room created: ROOM at 20251011-09-50-50
Server: server
[2025-10-11 | 09:51:08] {jeet} ('127.0.0.1', 50625) :- joined the room
[2025-10-11 | 09:51:11] {('127.0.0.1', 50627)} ('127.0.0.1', 50627) :- joined the room
[2025-10-11 | 09:51:11] {('127.0.0.1', 50627)} ('127.0.0.1', 50627) :- jet
[2025-10-11 | 09:51:16] {('127.0.0.1', 50627)} ('127.0.0.1', 50627) :- UNHANDLED ERROR: timed out
[2025-10-11 | 09:51:16] {('127.0.0.1', 50627)} ('127.0.0.1', 50627) :- ('127.0.0.1', 50627) disconnected.
[2025-10-11 | 09:51:21] {jeet} ('127.0.0.1', 50625) :- hi
[2025-10-11 | 09:51:29] {jeet} ('127.0.0.1', 50636) :- joined the room
[2025-10-11 | 09:51:31] {jeet} ('127.0.0.1', 50636) :- hi
[2025-10-11 | 09:51:33] {jeet} ('127.0.0.1', 50625) :- hi
[2025-10-11 | 09:51:36] {jeet} ('127.0.0.1', 50636) :- jeet
[2025-10-11 | 09:51:50] {jeet} ('127.0.0.1', 50625) :- hi
[2025-10-11 | 09:51:55] {jeet} ('127.0.0.1', 50625) :- jeet
[2025-10-11 | 09:51:58] {jeet} ('127.0.0.1', 50636) :- jeet disconnected.
[2025-10-11 | 09:52:04] {jeet} ('127.0.0.1', 50625) :- ji
