Room created: ROOM at 20251011-10-35-49
Server: server
[2025-10-11 | 10:36:02] {jeet} ('127.0.0.1', 57402) :- joined the room
[2025-10-11 | 10:36:05] {jeet} ('127.0.0.1', 57402) :- hi
[2025-10-11 | 10:36:16] {jeet} ('127.0.0.1', 57402) :- hi
[2025-10-11 | 10:36:28] {jex} ('127.0.0.1', 57422) :- joined the room
[2025-10-11 | 10:36:29] {('127.0.0.1', 57417)} ('127.0.0.1', 57417) :- ERROR: timed out
[2025-10-11 | 10:36:29] {('127.0.0.1', 57417)} ('127.0.0.1', 57417) :- joined the room
[2025-10-11 | 10:36:34] {('127.0.0.1', 57417)} ('127.0.0.1', 57417) :- jjex1
[2025-10-11 | 10:36:36] {('127.0.0.1', 57417)} ('127.0.0.1', 57417) :- hi
[2025-10-11 | 10:36:41] {('127.0.0.1', 57417)} ('127.0.0.1', 57417) :- ERROR: timed out
[2025-10-11 | 10:36:47] {jeet} ('127.0.0.1', 57402) :- hi
[2025-10-11 | 10:36:52] {jex} ('127.0.0.1', 57422) :- hi
[2025-10-11 | 10:37:07] {jex} ('127.0.0.1', 57422) :- connection reset
