Room created: ROOM at 20251011-024218
Server: server
[2025-10-11 02:42:27] JOIN: ('127.0.0.1', 61823)
[2025-10-11 02:42:28] JOIN: ('127.0.0.1', 61824)
[2025-10-11 02:42:29] JOIN: ('127.0.0.1', 61825)
[2025-10-11 02:42:29] JOIN: ('127.0.0.1', 61827)
[2025-10-11 02:42:36] ('127.0.0.1', 61823): hi
[2025-10-11 02:42:38] ('127.0.0.1', 61824): hello
[2025-10-11 02:42:42] ('127.0.0.1', 61825): worls
[2025-10-11 02:42:45] ('127.0.0.1', 61827): hwoere
[2025-10-11 02:42:49] ('127.0.0.1', 61823): hi
[2025-10-11 02:42:53] ('127.0.0.1', 61824): hello
[2025-10-11 02:42:56] ('127.0.0.1', 61825): hels
[2025-10-11 02:43:00] ('127.0.0.1', 61827): hello
[2025-10-11 02:43:13] ('127.0.0.1', 61823): heill
[2025-10-11 02:43:16] ('127.0.0.1', 61824): hwllo
[2025-10-11 02:43:18] ('127.0.0.1', 61825): hy
[2025-10-11 02:43:26] ('127.0.0.1', 61827): hello how are you
[2025-10-11 02:50:51] ('127.0.0.1', 61823): \exit
[2025-10-11 02:50:55] ERROR: ('127.0.0.1', 61824) [WinError 10054] An existing connection was forcibly closed by the remote host
[2025-10-11 02:50:56] ERROR: ('127.0.0.1', 61827) [WinError 10054] An existing connection was forcibly closed by the remote host
[2025-10-11 02:50:58] ERROR: ('127.0.0.1', 61825) [WinError 10054] An existing connection was forcibly closed by the remote host
[2025-10-11 02:50:59] ERROR: ('127.0.0.1', 61823) [WinError 10054] An existing connection was forcibly closed by the remote host
